cond,rxn,mean,sd
WT-Ace_I,BIOMASS_Ecoli_core_w_GAM,0.300368396491386,0.0158654230204024
WT-Ace_I,EX_ac_e,-16.5227915396461,2.45030244781681
WT-Ace_I,EX_co2_e,15.6656132091936,3.44651705424434
WT-Ace_I,EX_o2_e,-15.9534077958201,3.8655818844089
WT-Fruc_I,EX_fru_e,-9.27968462295591,1.34559949812777
WT-Fruc_I,BIOMASS_Ecoli_core_w_GAM,0.57311175363859,0.0233243738448201
WT-Fruc_I,EX_ac_e,2.85378421849927,0.657689598100285
WT-Fruc_I,EX_co2_e,13.4773012051647,0.87674096517985
WT-Fruc_I,EX_o2_e,-14.499521611863,0.920938025691319
WT-Fum_I,EX_succ_e,1.36189066030745,0.20537542489997
WT-Fum_I,EX_co2_e,21.5093691386652,1.2787929872644
WT-Fum_I,EX_o2_e,-16.2436168940686,1.18696692536699
WT-Fum_I,BIOMASS_Ecoli_core_w_GAM,0.42325036647005,0.0273267260121812
WT-Fum_I,EX_fum_e,-16.0581070002686,2.05621628943041
WT-Glc_I,EX_o2_e,-17.3794484269415,4.13119926305917
WT-Glc_I,EX_co2_e,12.9471873631818,0.490718158597268
WT-Glc_I,EX_glc__D_e,-10.725831070803,0.711512238982238
WT-Glc_I,BIOMASS_Ecoli_core_w_GAM,0.68635959531714,0.0077601065156925
WT-Glc_I,EX_ac_e,10.8360008626595,1.00496623241025
WT-Glyc_I,EX_o2_e,-16.2504726077447,0.498847810302469
WT-Glyc_I,EX_co2_e,9.79894149236861,0.183821906380622
WT-Glyc_I,BIOMASS_Ecoli_core_w_GAM,0.510107073073036,0.0068813396250451
WT-Glyc_I,EX_glyc_e,-16.3133819337109,1.40015053113999
WT-Glyc_I,EX_ac_e,0.998172521588502,0.105567900580978
WT-Mann_I,EX_man__D_e,-6.42848030431399,1.48455472746958
WT-Mann_I,BIOMASS_Ecoli_core_w_GAM,0.474736619797554,0.0156123413668139
WT-Mann_I,EX_for_e,0.609830509856633,0.188771844863652
WT-Mann_I,EX_co2_e,10.3675527632549,0.461563200279702
WT-Mann_I,EX_ac_e,0.720576795763137,0.382717296301075
WT-Mann_I,EX_o2_e,-10.8403821895621,1.36153975583846
WT-Pyr_I,EX_ac_e,15.3594678117644,1.3456266664145
WT-Pyr_I,EX_pyr_e,-37.0587690980822,2.94816592350261
WT-Pyr_I,EX_lac__D_e,2.98563581174396,0.746668085350885
WT-Pyr_I,BIOMASS_Ecoli_core_w_GAM,0.419570414679897,0.0254147607902817
WT-Pyr_I,EX_co2_e,31.1023601234126,0.791578690482849
WT-Pyr_I,EX_o2_e,-25.7594191588207,6.609645260766
WT-Succ_I,EX_co2_e,19.4968339989585,1.24965250775192
WT-Succ_I,EX_o2_e,-23.066197257877,1.98612462865133
WT-Succ_I,BIOMASS_Ecoli_core_w_GAM,0.447088674959498,0.0318640298705889
WT-Succ_I,EX_succ_e,-15.7248237310233,1.21324228035824
WT-Succ_I,EX_mal__L_e,0.466307882755008,0.0946420757611348
WT-Succ_I,EX_fum_e,1.08031586704959,0.106060141645524
dptsG-Glc_I,BIOMASS_Ecoli_core_w_GAM,0.26091031046846,0.0140873763296932
dptsG-Glc_I,EX_co2_e,9.18864866517805,0.763411516898747
dptsG-Glc_I,EX_o2_e,-8.76243077117306,1.83071126583631
dptsG-Glc_I,EX_glc__D_e,-4.2566612974752,0.794926007267397
